наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото
Набор шоколадных конфет  КРАСНОЯРСКИЕ СЮЖЕТЫ. ОРГАННЫЙ ЗАЛ;"160 гр.  Ассортимент 1. конфеты Саянале яблочный без этикета 11 шт СОСТАВ:  шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор идентичный натуральному «Ванилин»), белая шоколадная глазурь (сахар-песок, эквивалент какао-масла, сухие молочные продукты, эмульгатор — лецитин (Е322), ароматизатор, идентичный натуральному «Йогурт», краситель пищевой (Е160А)), полуфабрикат кондитерский — начинка (сахар-песок, жир специального назначения, молоко сухое обезжиренное, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванильно-сливочный», антиокислитель (Е306)), сахар-песок, молоко сгущенное с сахаром, патока крахмальная, подварка яблочная (сахар-песок, пюре яблочное), какао-порошок, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), алкоголь (спирт этиловый пищевой), корица, эмульгатор — лецитин (Е322), регулятор кислотности — кислота лимонная (Е330), ароматизаторы, идентичные натуральным: «Тоффи», «Яблоко»; краситель пищевой (Е141).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  - 22,0 г; углеводы  -  63,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   470 ккал /1970 кДж ГОСТ   4570-93    УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 4 МЕСЯЦА";338.95 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848668;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/1cf246af5a009b9d5feabbd1b2e5abda.jpg
Фасованные конфеты КРАСНОЯРСКИЕ;200 гр.;274.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848667;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/e4269e042f49660853f8c75f71a8ac88.jpg
Фасованные конфеты КРАСНОЯРСКАЯ ПТИЧКА;250 гр.;148.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848666;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/e192f03317db492b354c698a8b5bc058.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ЧАСЫ;"180 гр.  1. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 4 шт 2. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 4 шт 3. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, патока крахмальная, молоко сгущенное с сахаром, какао тертое, жир специального назначения, кокосовое масло, какао-порошок, алкоголь (Спирт этиловый пищевой), пюре яблочное, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Ванильно-сливочный», «Ромовый», «Апельсин».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  -  23,0 г; углеводы  -  61,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  470 ккал/1970 к Дж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 4 МЕСЯЦА";146.78 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848663;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/de0ea0ee046596c5e1e320e656fbcf64.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ЦАРЬ-РЫБА;"180 гр.  Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 4 шт 2. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 4 шт 3. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, патока крахмальная, молоко сгущенное с сахаром, какао тертое, жир специального назначения, кокосовое масло, какао-порошок, алкоголь (Спирт этиловый пищевой), пюре яблочное, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Ванильно-сливочный», «Ромовый», «Апельсин».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  -  23,0 г; углеводы  -  61,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  470 ккал/1970 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 4 МЕСЯЦА";137.00 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848662;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/0e22b2b2c369c0773a8bb65e73fc5557.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ФОНТАНЫ;"180 гр.  Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 4 шт 2. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 4 шт 3. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт СОСТАВ:  сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), патока крахмальная, молоко сгущенное с сахаром, молоко цельное сухое, какао тертое, жир специального назначения, ядро ореха кешью и фундука жареное дробленое и тертое, сыворотка сухая молочная, вафли дробленые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), какао-порошок, какао-масло, стружка грецкого ореха, пюре черносмородиновое, алкоголь (спирт этиловый пищевой, коньяк), пенообразователь — восстановленный яичный белок, агент влагоудерживающий — глицерин (Е422), студнеобразователи: агар (Е406), пектин (Е440), кокосовое масло, регулятор кислотности — кислота лимонная (Е330), комплексообразователь — фосфомикс (Е331), ароматизаторы, идентичные натуральным: «Тоффи шоколадный», «Ванилин», «Ромовый», «Грецкий орех», «Барбарисовый»; краситель пищевой (Е120).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки —   5,5 г; жиры  -  21,0 г; углеводы  -  62,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  460 ккал/1930 кДж УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей ГОСТ  4570-93СРОК ГОДНОСТИ 4 МЕСЯЦА";146.78 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848661;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/9e91cec44313f28114228dc630d53a7c.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ ВЕЧЕРА;"180 гр.  1. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 4 шт 2. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 4 шт 3. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, патока крахмальная, молоко сгущенное с сахаром, какао тертое, жир специального назначения, кокосовое масло, какао-порошок, алкоголь (Спирт этиловый пищевой), пюре яблочное, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Ванильно-сливочный», «Ромовый», «Апельсин».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  -  23,0 г; углеводы  -  61,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  470 ккал.ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";146.78 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848660;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/49204f50685a369b4442dd6681d2a1d4.jpg
Набор шоколадных конфет МОЙ КРАСНОЯРСК (ФОНТАНЫ);"265 гр.  Ассортимент:  «Красноярье», «Краскоша на балу», «Сибирская красавица», «Саянские шоколадные», «Краскоша вечерком», «Саянские ночи». СОСТАВ:  сахар, шоколадная глазурь (сахар, какао тертое,   эквивалент масла какао,какао-порошок, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), патока,  молоко сгущенное с сахаром, молоко цельное сухое, какао тертое, жир специального назначения, ядро ореха кешью и фундука жареное дробленое и тертое, сыворотка сухая молочная, вафли молотые (мука пшеничная, масло растительное, соль пищевая, разрыхлитель-гидрокарбонат натрия, эмульгатор — лецитин соевый), какао-порошок, какао-масло, стружка грецкого ореха, пюре черносмородиновое, пюре яблочное, масло из коровьего молока, спирт этиловый пищевой, пенообразователь — восстановленный яичный белок, желирующие агенты: агар и  пектин; кокосовое масло, регулятор кислотности — кислота лимонная,  ароматизаторы пищевые: «Тоффи шоколадный», «Ванилин», «Ромовый», «Грецкий орех», «Барбарисовый», «Миндаль»; краситель пищевой Е120.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки —   5,5 г; жиры  -  21,0 г; углеводы  -  62,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  460 ккал/  1930  кДж УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 +- 3)С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей ГОСТ  4570";202.47 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848659;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/78b6dc29e21fec4cdff614c0c49602ae.jpg
Набор шоколадных конфет МОЙ КРАСНОЯРСК (ВОКЗАЛЫ);"265 гр.  1. Конфеты Сибирская красавица - без этикета 5 шт 2. Конфеты Саянские шоколадные - без этикета 5 шт 3. красноярье-без этикета 1 шт 4. краскоша на балу- без этикета 5 шт 5. Конфеты Краскоша вечерком - без этикета (для фасовки) 5 шт 6. саянские ночи-без этикета 6 шт Ассортимент:  «Красноярье», «Краскоша на балу», «Сибирская красавица», «Саянские шоколадные», «Краскоша вечерком», «Саянские ночи». СОСТАВ:  сахар, шоколадная глазурь (сахар, какао тертое,   эквивалент масла какао,какао-порошок, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), патока,  молоко сгущенное с сахаром, молоко цельное сухое, какао тертое, жир специального назначения, ядро ореха кешью и фундука жареное дробленое и тертое, сыворотка сухая молочная, вафли молотые (мука пшеничная, масло растительное, соль пищевая, разрыхлитель-гидрокарбонат натрия, эмульгатор — лецитин соевый), какао-порошок, какао-масло, стружка грецкого ореха, пюре черносмородиновое, пюре яблочное, масло из коровьего молока, спирт этиловый пищевой, пенообразователь — восстановленный яичный белок, желирующие агенты: агар и  пектин; кокосовое масло, регулятор кислотности — кислота лимонная,  ароматизаторы пищевые: «Тоффи шоколадный», «Ванилин», «Ромовый», «Грецкий орех», «Барбарисовый», «Миндаль»; краситель пищевой Е120.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки —   5,5 г; жиры  -  21,0 г; углеводы  -  62,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  460 ккал/  1930  кДж УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 +- 3)С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей ГОСТ  4570";202.47 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848658;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/d322922498b0d36830bf97a0abc59571.jpg
Набор шоколадных конфет КРАСНОЯРСКИЕ СТОЛБЫ ЛЕТО;305 гр.;213.23 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848657;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/f4bd4ffc084212ba932c1e8c32ffe729.jpg
Набор шоколадных конфет КРАСНОЯРСК ВЕЧЕРНИЙ;"470 гр.  1. Конфеты Саянские озера - без этикета 7 шт 2. тесоро молочный -без этикета 10 шт 3. саянские ночи-без этикета 7 шт 4. Конфеты Краскоша вечерком - без этикета (для фасовки) 7 шт 5. Конфеты Краскоша друг буревестника - без этикета (для фасовки) 7 шт 6. тесоро кофе со сливками без этикета 4 шт Ассортимент: ""Тесоро кофе со сливками"", ""Краскоша-друг буревестника"", ""Краскоша вечерком"", ""Саянские ночи"", ""Саянские озёра"", ""Тесоро молочный"".СОСТАВ:  сахар, шоколадная глазурь (сахар, какао тертое, какао-порошок, эквивалент масла какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), полуфабрикат кондитерский — начинка (сахар, жир специального назначения,  молоко сухое обезжиренное, эквивалент какао-масла, регулятор кислотности-кислота лимонная,  эмульгатор — лецитин соевый, антиокислители: аскорбиновая кислота, смесь токоферолов, ароматизатор пищевой ""Ванильно-сливочный""), патока, молоко сгущенное с сахаром, жир специального назначения, вафли молотые (мука пшеничная, масло растительное, соль пищевая, разрыхлитель-гидрокарботан натрия, эмульгатор — лецитин соевый), воздушный рис, пюре фруктово-ягодное, желирующий агент — пектин, ядро ореха фундука жареное тертое и дробленое, ядро ореха кешью жареное тертое, какао тертое, какао-порошок, масло из коровьего молока, молоко цельное сухое, сыворотка сухая молочная, какао-масло, кокосовое масло, кофе натуральный молотый,  спирт этиловый пищевой, регулятор кислотности — кислота лимонная , ароматизаторы пищевые: «Тоффи шоколадный», «Ванилин», «Вишня», «Ромовый», «Чизкейк», «Капуччино»; красители пищевые: Е160b, Е120, Е 132.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки - 5,0 г; жиры  - 23,0 г; углеводы  -  60,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   470 ккал/1970 кДж ГОСТ   4570   УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 +- 3)С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";235.93 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848655;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/03addb678f6e6c1e1eea718c412a1fa6.jpg
Набор шоколадных конфет ВИДЫ КРАСНОЯРСКА (жесть);550 гр.  	Ассортимент 1. Конфеты Багира шоколадная вз 5 шт 2. Конфеты Керман-фисташковое молочко вз 5 шт 3. Конфеты Краскоша-любитель оршада вз 5 шт 4. Конфеты Краскошино шоу вз 4 шт 5. Конфеты Манна вз 5 шт 6. Конфеты Саянале клубничный вз 5 шт 7. Конфеты Саянале со вкусом халвы вз 5 шт 8. Конфеты Черемуховый букет вз 4 шт;674.73 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848654;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/d63d1752dd298771330d5bf1a6872866.jpg
Набор шоколадных конфет ВИДЫ КРАСНОЯРЬЯ (жесть);1015 гр.  Ассортимент 1. Конфеты Багира шоколадная вз 7 шт 2. Конфеты Краскошино шоу вз 7 шт 3. Конфеты Красноярские столбы вз 5 шт 4. Конфеты Красноярское танго вз 7 шт 5. Конфеты Мой Красноярск вз (во флоу-пак) 3 шт 6. Конфеты Ореховый букет вз 7 шт 7. Конфеты Саянале клубничный вз 7 шт 8. Конфеты Саянские ночи вз 7 шт 9. Конфеты Черемуховый букет вз 7 шт 10. Конфеты Шоколадный король вз 7 шт 11. Шоколад КРАСКОНОВСКИЙ тёмный (медали) с видом Параскевы Пятницы 1 шт;1154.64 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848653;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b685db932e5280d9fcf29d1d32ae1eb9.jpg
Набор шоколадных конфет АССОРТИ КРАСКОНОВСКОЕ 1;"350 гр.  Ассортимент 1. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 8 шт 2. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 8 шт 3. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 14 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»),  сахар-песок, молоко сгущенное с сахаром, патока крахмальная, пюре яблочное, кокосовое масло, жир специального назначения, алкоголь (спирт этиловый пищевой), какао-порошок, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Апельсин», «Ванильно-сливочный», Ром».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -   4,0 г; жиры  -  23,0 г; углеводы  -  61,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:     460 ккал/1930ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 4 МЕСЯЦА";297.70 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848652;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/22871eb3be680fb2229445784dfd65a3.jpg
Набор шоколадных конфет АССОРТИ КРАСКОНОВСКОЕ 2;"220 гр.  Ассортимент 1. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 6 шт 2. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 6 шт 3. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 6 шт Ассортимент: ""Ассорти Красконовское с шоколадной начинкой"", ""Ассорти Красконовское с помадно-сливочной начинкой"", ""Ассорти Красконовское с помадно-шоколадной начинкой"".СОСТАВ: шоколадная глазурь (сахар, какао тертое, какао-порошок, эквивалент масла какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»),  сахар, молоко сгущенное с сахаром, патока, пюре яблочное, кокосовое масло, жир специального назначения, спирт этиловый пищевой, какао-порошок, консервант — сорбат калия, ароматизаторы пищевые: «Апельсин», «Ванильно-сливочный», Ром».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -   4,0  г; жиры  -  23,0 г; углеводы  -  61,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:     460 ккал/1930 кДж ГОСТ   4570УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18±3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";217.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848651;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/2cacfa2804d7e578006dcb6c46001fb7.jpg
Набор шоколадных конфет АССОРТИ КРАСКОНОВСКОЕ 3;"160 гр.  Ассортимент 1. Конфеты Ассорти Красконовское с шоколадной начинкой без этикета 3 шт 2. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 3 шт 3. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 8 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»),  сахар-песок, молоко сгущенное с сахаром, патока крахмальная, пюре яблочное, кокосовое масло, жир специального назначения, алкоголь (спирт этиловый пищевой), какао-порошок, консервант — сорбат калия (Е202), ароматизаторы, идентичные натуральным: «Апельсин», «Ванильно-сливочный», Ром».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -   4,0  г; жиры  -  23,0 г; углеводы  -  61,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:     460 ккал/1930 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18±3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 4 МЕСЯЦА";145.35 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848650;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/2c3391d1bd34b42c6d4f1fc7e20a1cde.jpg
Набор шоколадных конфет КРАСКОНОВСКИЙ ВАЛЬС		350 Г;"1. саянале миндальный-без этикета 6 шт 2. саянале шоколадно-ореховый- без этикета 9 шт 3. тесоро кофе со сливками без этикета 9 шт 4. краскоша- любитель Оршада- без этикета 6 шт СОСТАВ:  шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент мала какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), сахар-песок, полуфабрикат кондитерский — начинка (сахар-песок, молоко сухое цельное, молоко сухое обезжиренное, жир специального назначения, эквивалент какао-масла, сыворотка сухая молочная, эмульгатор — лецитин (Е322), эмульгатор (Е476), антиокислитель (Е306), ароматизатор, идентичный натуральному «Сливочный»), ядро абрикосовой косточки тертое, крошка - белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эквивалент какао-масла, эмульгатор (Е476), краситель пищевой (Е160А)), какао тертое, масло из коровьего молока, молоко цельное сухое, ядро ореха фундука жареное тертое и дробленое, какао-масло, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор - лецитин (Е322)), какао-порошок, кокосовое масло, кофе натуральный молотый, алкоголь (коньяк, спирт этиловый пищевой), эмульгатор — лецитин (Е322), ароматизаторы, идентичные натуральным: «Ванилин», «Капуччино», «Айриш-крим», «Миндаль».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки –  6,5 г; жиры  - 34,,0 г; углеводы  -  51,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  540 ккал/2260 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 4 МЕСЯЦА";474.40 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848647;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/cb44fc0f5cd1073b6b0543237309847b.jpg
Набор шоколадных конфет КОМАНДОР РЕЗАНОВ		 650 Г;"1. Конфеты Красноярские вечера без этикета 10 шт 2. тесоро кофе со сливками без этикета 10 шт 3. саянале оригинальный- без этикета 6 шт 4. клен кудрявый-без этикета 4 шт 5. краскоша друг белочки- без этикета 4 шт 6. саянале кремовый- без этикета 14 шт 7. шоколадный принц-без этикета 6 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), полуфабрикат кондитерский — начинка (сахар-песок, жир специального назначения, молоко сухое цельное, молоко сухое обезжиренное, какао-масло, сыворотка сухая молочная, эмульгатор — лецитин (Е322), эмульгатор (Е476)), белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эквивалент какао-масла, эмульгатор (Е476), краситель пищевой (Е160А)), крошка темного шоколада, сахар-песок, ядра фундука и кешью жареные тертые и дробленые, молоко цельное сухое, молоко сгущенное с сахаром, масло из коровьего молока, какао-порошок, какао тертое, какао-масло, сыворотка сухая молочная, вафли дробленые и молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), кокосовое масло, изюм, рис воздушный, кофе натуральный молотый, цукаты фруктовые, алкоголь (спирт этиловый пищевой, коньяк), ароматизаторы, идентичные натуральным: «Капучино», «Ванилин», «Ванильно-сливочный», «Ванильный», «Ромовый», «Фундук», «Белый шоколад»..ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 5,0 г; жиры  -  32,0 г; углеводы  - 53,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   520 ккал/2180 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 2 МЕСЯЦА";1015.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848644;https://24-ok.ru/images/lots/2014_lots/09/20/07/54/25273/9558de04981c9bdeefa563674b185b33.jpg
Фасованные конфеты ЧЕРНОСЛИВ В ШОКОЛАДЕ С ГРЕЦ ОР.  140гр;;190.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848626;https://24-ok.ru/images/lots/2013_lots/11/30/12/19/14617/5764033817b814bf397fe987303a9037.jpg
Набор шоколадных изделий КРАСКОША ДАРИТ БУКЕТ РОЗ (чайных);"Ассортимент 1. Мармелад фигурный в шоколаде - без этикета 5 шт 2. саянские ночи-без этикета 10 шт 3. Конфеты Симонель - без этикета 10 шт 4. краскоша на верблюде- без этикета 4 шт СОСТАВ: сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322),  эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), молоко сгущенное с сахаром, патока крахмальная, какао тертое, молоко цельное сухое, сухая молочная сыворотка, какао-масло, ядро ореха фундука жареное тертое и дробленое, ядро ореха кешью жареное тертое, вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), какао-порошок, семя кунжута жареного, масло из коровьего молока, жир специального назначения, кокосовое масло, студнеобразователь — пектин (Е440), алкоголь (спирт этиловый пищевой), регулятор кислотности — кислота лимонная (Е330), комплексообразователь  (Е331), ароматизаторы, идентичные натуральным: «Ваниль ореховая», «Ванилин», «Ромовый», «Малина»; краситель пищевой (Е120).ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки –  5,0 г; жиры  - 20,0 г; углеводы  - 63,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 450 ккал/1880 кДж ГОСТ   4570-93; ГОСТ  6442-89УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18±3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей СРОК ГОДНОСТИ 3 МЕСЯЦА";227.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848616;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/7aa57668a1e5915d47d45d28369011c0.jpg
