наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото
"Торт ""Шоколадно-вафельный""";;268.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848705;https://24-ok.ru/images/icons/noimage.png
"Торт ""Красноярская птичка""  550 Г";"СОСТАВ:  сахар-песок,  шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»),  патока крахмальная, масло из коровьего молока, молоко сгущенное с сахаром, пенообразователь - яичный белок восстановленный, студнеобразователь — агар (Е406),  регулятор кислотности - лимонная кислота (Е330), краситель пищевой (E160b), ароматизаторы, идентичные натуральным: «Ванилин», «Лимон».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 2,5 г; ЖИРЫ – 21,0 г; УГЛЕВОДЫ – 58,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  430 ККАЛ / 1800 кДж ТУ 9130-002-00357133-07УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";279.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848704;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f9738d065506e1389dbbd271e922e534.jpg
Набор шоколадных конфет ШОКОЛАДНЫЕ БЕРЕГА;"СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), полуфабрикат кондитерский — начинка (сахар-песок, жир специального назначения, молоко сухое цельное, молоко сухое обезжиренное, какао-масло, сыворотка сухая молочная, эмульгатор — лецитин (Е322), эмульгатор (Е476)), белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эквивалент какао-масла, эмульгатор (Е476), краситель пищевой (Е160А)), крошка темного шоколада, сахар-песок, ядра фундука и кешью жареные тертые и дробленые, молоко цельное сухое, молоко сгущенное с сахаром, масло из коровьего молока, какао-порошок, какао тертое, какао-масло, сыворотка сухая молочная, вафли дробленые и молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин (Е322)), кокосовое масло, изюм, рис воздушный, кофе натуральный молотый, цукаты фруктовые, алкоголь (спирт этиловый пищевой, коньяк), ароматизаторы, идентичные натуральным: «Капучино», «Ванилин», «Ванильно-сливочный», «Ванильный», «Ромовый», «Фундук», «Белый шоколад»..В состав набора входят фирменные конфеты: ""Крестовый король"", ""Красноярский вальс"" (новинка - шоколадные куполообразные конфеты с нежной тающей шоколадной начинкой с добавлением клюквенной настойки и гранатового аромата), ""Саянале миндальный"", ""Тесоро кофе со сливками"", ""Шоколадный король"", ""Удивительная Сибирь"", ""Краскоша вечерком"", ""Саянские озёра"", ""Симонель"".  Вес набора 740 г.  ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 4,0 г; жиры  -  26,0 г; углеводы  - 58,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   480 ккал/2010 кДж ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 + - 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 3 МЕСЯЦА";710.90 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848703;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/f20346ddbf9b05956b920093dde4d7ed.jpg
Набор шоколадных конфет ШОКОЛАДНАЯ РОМАНТИКА КРАСКОНА 1;1. крестовый король-без этикета 4 шт 2. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 3 шт 3. Конфеты Ореховый букет без этикета 6 шт 4. Конфеты Черемуховый букет без этикета 3 шт 5. краскоша- любитель Оршада- без этикета 6 шт 6. Конфеты Саянские озера - без этикета 8 шт;333.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848702;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/4822d07e40ffae20a40d5e566aef8c45.jpg
Набор шоколадных конфет ШОКОЛАДНАЯ РОМАНТИКА КРАСКОНА  420 Г;"1. краскоша- любитель Оршада- без этикета 7 шт 2. Конфеты Багира шоколадная без этикета 7 шт 3. Конфеты Ассорти Красконовское с помадно-шоколадной начин без этикета 6 шт 4. Конфеты Ассорти Красконовское с помадно-сливочной начинкой без этикета 10 шт Ассортимент: ""Краскоша-любитель оршада"", ""Багира шоколадная"", ""Ассорти Красконовское с помадно-сливочной начинкой"", ""Ассорти Красконовское с помадно-шоколадной начинкой"".СОСТАВ:  шоколадная глазурь (сахар, какао тертое,  какао-порошок, эквивалент масла какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), полуфабрикат кондитерский — начинка (сахар, молоко сухое обезжиренное, жир специального назначения, эквивалент масла какао, регулятор кислотности-кислота лимонная, эмульгатор — лецитин соевый, антиокислители: аскорбиновая кислота, смесь токоферолов; ароматизатор пищевой «Ванильно-сливочный»), сахар-, молоко сгущенное с сахаром, патока, кокосовое масло, ядро ореха фундука жареное дробленое, пюре цитрусовое, жир специального назначения, спирт этиловый пищевой, какао-порошок, консервант — сорбат калия, вафли молотые (мука пшеничная, масло растительное, соль пищевая, разрыхлитель-гидрокарбонат натрия, эмульгатор — лецитин соевый), ароматизаторы пищевые: «Фундук», «Ромовая ваниль», «Ванильно-сливочный», «Ром», «Миндаль»..ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки –   4,0 г; жиры  -  26,0 г; углеводы  -  57,0  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:   480  ккал/2010 кДж ГОСТ  4570УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 +- 3) С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей";333.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848701;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/cf03140cbd133f1ffc01891f810b557d.jpg
Набор шоколадных конфет ШОКОЛАДНАЯ КОРОЛЕВА  245 Г;"крестовый король-без этикета 6 шт 2. шоколадная королева-без этикета 5 шт 3. саянале миндальный-без этикета 5 шт СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин (Е322), эмульгатор (Е476), ароматизатор, идентичный натуральному «Ванилин»), белая шоколадная глазурь (сахар-песок, какао-масло, сухие молочные продукты, эмульгатор (Е476), краситель пищевой (Е160А)), ядро абрикосовой косточки, сахар-песок, крошка темного и белого шоколада, ядро ореха фундука жареное тертое и дробленое, масло из коровьего молока, какао тертое, какао-масло, кокосовое масло, изюм, какао-порошок, молоко цельное сухое, алкоголь (коньяк, спирт этиловый пищевой), патока крахмальная, эмульгатор — лецитин (Е322), ароматизаторы, идентичные натуральным: «Белый шоколад», «Фисташка», «Ванилин».МАССА  НЕТТО, г.ДАТА ИЗГОТОВЛЕНИЯ                       непечатное окно размером 25*40 мм ДАТА УПАКОВЫВАНИЯ  Штрих-код 4605542018474ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -  6,5 г; жиры  - 34,0 г; углеводы  - 49,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 530 ккал.ГОСТ   4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (18 3)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 2 МЕСЯЦА";320.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848700;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/be5d995465bbb9f050a3617386d066db.jpg
Набор шоколадных конфет ЧЕРЕМУХОВЫЙ БУКЕТ 1  485 Г;;324.60 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848699;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/1d500e97ad9a0919e7b71839b462e1f3.jpg
Набор шоколадных конфет ТЕСОРО  395 Г;"тесоро кофе со сливками без этикета 5 шт 2. тесоро желанный-без этикета 5 шт 3. тесоро жгучий шоколад ( в саше) без этикета 5 шт 4. красноярье-без этикета 4 шт 5. тесоро молочный (в саше) -без этикета 5 шт СОСТАВ: сахар-песок, шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), полуфабрикат кондитерский - начинка (сахар-песок, жир специального назначения, молоко сухое цельное, молоко сухое обезжиренное, какао-масло, сыворотка сухая молочная, эмульгатор — лецитин Е322, эмульгатор Е476), ядро ореха фундука жареное тертое, молоко цельное сухое, молоко цельное сгущенное с сахаром, какао-порошок, вафли дробленые и молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), жир специального назначения, рис воздушный, кофе натуральный молотый, алкоголь (спирт этиловый пищевой), кокосовое масло, перец черный молотый, консервант — сорбиновая кислота Е200, ванилин, регулятор кислотности — кислота лимонная Е330, ароматизаторы, идентичные натуральным: «Капучино», «Тоффи шоколадный», «Чили», «Какао», «Чизкейк»; красители пищевые: «Аннато» Е160b, «Куркумин» Е110.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки – 5,0 г; жиры  - 32,0 г; углеводы  - 54,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 530 ккал/2220 кДж ГОСТ 4570-93УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре (183)о С и относительной влажности воздуха не более 75%, избегать попадания  прямых солнечных лучей  СРОК ГОДНОСТИ 3 МЕСЯЦА";228.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848697;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/450bd2850d51dca2c5cab4a0c3e9110d.jpg
Набор шоколадных конфет СИБИРСКАЯ ПРИРОДА  200 Г;;110.30 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848696;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/e183872ad9bcecbbbd2281fffe1145ce.jpg
Набор шоколадных конфет САЯНСКОЕ ЛЕТО  130 Г;;108.70 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848695;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/8ab9b0579760a195ce3c0bb61111c274.jpg
