наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Вес
Конфеты Шоколадный король;"Это шоколадные конфеты куполообразной формы. Под гордым и величественным шоколадным куполом, как таинственная и утончённая душа Востока, скрывается нежная кремовая начинка с кусочками хрустящих вафель и жареного ореха СОСТАВ:  шоколадная глазурь, начинка — полуфабрикат кондитерская масса,  какао-порошок, ядро ореха фундука жареное дробленое, вафли молотые, ароматизатор пищевой «Ванильно-сливочный».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ  –  5,5  г; ЖИРЫ  – 35,0  г; УГЛЕВОДЫ  –  50,0    г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 540 ККАЛ/2260 кДж ГОСТ 4570УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";188.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848268;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b01bfbecbf22289fcfc35a3e4119ad41.jpg;500
Конфеты Шоколадный король;"Это шоколадные конфеты куполообразной формы. Под гордым и величественным шоколадным куполом, как таинственная и утончённая душа Востока, скрывается нежная кремовая начинка с кусочками хрустящих вафель и жареного ореха СОСТАВ:  шоколадная глазурь, начинка — полуфабрикат кондитерская масса,  какао-порошок, ядро ореха фундука жареное дробленое, вафли молотые, ароматизатор пищевой «Ванильно-сливочный».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ  –  5,5  г; ЖИРЫ  – 35,0  г; УГЛЕВОДЫ  –  50,0    г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 540 ККАЛ/2260 кДж ГОСТ 4570УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";83.85 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848267;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/6b18691fd744422710ab278b78b49ae9.jpg;200
Конфеты Удивительная Сибирь 65 г;Формовые укрупненные шоколадные конфеты с начинкой на основе помады с добавлением ядра кедрового ореха и алкоголя.СОСТАВ:  шоколадная глазурь (сахар,  какао тертое, какао-порошок, эквивалент масло-какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), сахар, молоко сгущенное с сахаром, ядро кедрового ореха, патока, масло из коровьего молока, спирт этиловый ректификованный, ароматизатор пищевой «Кедровый орех».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -  5,0 г., Жиры — 28,0 г., Углеводы — 57,0 г.,    ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:    500 ккал/2090 кДж          ГОСТ   4570УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.;105.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848264;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/00bf7c77d330a38d9e55049b20faae5d.jpg;65
Конфеты Удивительная Сибирь;Формовые укрупненные шоколадные конфеты с начинкой на основе помады с добавлением ядра кедрового ореха и алкоголя.СОСТАВ:  шоколадная глазурь (сахар,  какао тертое, какао-порошок, эквивалент масло-какао, эмульгатор — лецитин соевый, ароматизатор пищевой «Ванилин»), сахар, молоко сгущенное с сахаром, ядро кедрового ореха, патока, масло из коровьего молока, спирт этиловый ректификованный, ароматизатор пищевой «Кедровый орех».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки -  5,0 г., Жиры — 28,0 г., Углеводы — 57,0 г.,    ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:    500 ккал/2090 кДж          ГОСТ   4570УСЛОВИЯ ХРАНЕНИЯ: Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.;450.84 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848263;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/282cb6b03eb5eb97f0e29d25c9e30626.jpg;180
Конфеты Трюфель Красконовский;"Это  формовые конфеты выпущены по новой технологии и рецептуре в виде шоколадных трюфелей, обсыпанных какао-порошком. Данные конфеты имеют мягкую структуру и тающий вишнёво-шоколадный вкус и аромат. Производятся путём сбивания шоколада с высококачественным сливочным маслом и спиртом.Состав: шоколадная глазурь (сахар, какао тертое, какао-масло, эквивалент масла какао, какао-порошок, эмульгатор — лецитин, ароматизатор пищевой «Ванилин»),  масло из коровьего молока, какао-порошок, алкоголь (спирт этиловый пищевой), какао-масло, сахарная пудра, ароматизаторы пищевые: «Гранат», «Вишня», эмульгатор-лецитин.Пищевая ценность 100 г: белки 5,0 г; жиры 38,0 г; углеводы 45,0 г.Энергетическая ценность 100 г: 540 ккал/2260 кДж.Выпускаются по ГОСТ 4570, ТР ТС 021/2011Условия хранения: хранить при температуре (18+-3) С и относительной влажности воздуха не более 75%, избегать попадания прямых солнечных";237.25 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848262;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b214e31ab1373bcb57174e6f4ef98d6c.jpg;500
Конфеты Трюфель Красконовский;"Это  формовые конфеты выпущены по новой технологии и рецептуре в виде шоколадных трюфелей, обсыпанных какао-порошком. Данные конфеты имеют мягкую структуру и тающий вишнёво-шоколадный вкус и аромат. Производятся путём сбивания шоколада с высококачественным сливочным маслом и спиртом.Состав: шоколадная глазурь (сахар, какао тертое, какао-масло, эквивалент масла какао, какао-порошок, эмульгатор — лецитин, ароматизатор пищевой «Ванилин»),  масло из коровьего молока, какао-порошок, алкоголь (спирт этиловый пищевой), какао-масло, сахарная пудра, ароматизаторы пищевые: «Гранат», «Вишня», эмульгатор-лецитин.Пищевая ценность 100 г: белки 5,0 г; жиры 38,0 г; углеводы 45,0 г.Энергетическая ценность 100 г: 540 ккал/2260 кДж.Выпускаются по ГОСТ 4570, ТР ТС 021/2011Условия хранения: хранить при температуре (18+-3) С и относительной влажности воздуха не более 75%, избегать попадания прямых солнечных лучей";98.63 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848261;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/16d559494fc38a27ac2177949248c980.jpg;200
Конфеты Тесоро молочный 0.2 фас (в саше);"Конфеты прямоугольной формы. Начинка изготавливается с добавлением воздушного риса и молотых вафель. СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), полуфабрикат кондитерский - начинка (сахар-песок, жир специального назначения, молоко сухое обезжиренное, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванильно-сливочный», антиокислитель Е306), вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), воздушный рис, регулятор кислотности — кислота лимонная Е330, ароматизатор, идентичный натуральному, «Чизкейк», красители пищевые: E160b, E100.ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 6,0 г; ЖИРЫ – 34,0 г; УГЛЕВОДЫ – 53,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 540 ККАЛ/2260 кДж ГОСТ 4570-93";66.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848260;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/b11537c6440b766e0ecf45fdd666a30d.jpg;200
Конфеты Тесоро кофе со сливками (фольга;"Формовые конфеты куполообразной откалиброванной формы, выпущены по фирменной эксклюзивной рецептуре в конце января 2012 года. Упакованы в художественно-оформленную плёнку методом завёртки «флоупак».  Сочетание нежного молочного шоколада с молочной кофейной начинкой. Ярковыраженный замечательный вкус кофе достигается здесь добавлением высококачественного натурального молотого кофе. СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), начинка - полуфабрикат кондитерская масса (сахар-песок, жир специального назначения, молоко сухое цельное, молоко сухое обезжиренное, эквивалент масла какао, сыворотка сухая молочная, эмульгатор — лецитин Е322, эмульгатор Е476, антиокислитель Е306, ароматизатор, идентичный натуральному, «Сливочный»), вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), какао-порошок, кофе натуральный молотый, ароматизатор, идентичный натуральному, «Капуччино».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 4,0 г; ЖИРЫ – 32,0 г; УГЛЕВОДЫ – 55,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  520  ККАЛ/2180 кДж ГОСТ  4570-93";146.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848259;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/8dc35b5c839e32a9e8d098598e0bf638.jpg;500
Конфеты Тесоро кофе со сливками (фольга) 0.2 фас;"Формовые конфеты куполообразной откалиброванной формы, выпущены по фирменной эксклюзивной рецептуре в конце января 2012 года. Упакованы в художественно-оформленную плёнку методом завёртки «флоупак».  Сочетание нежного молочного шоколада с молочной кофейной начинкой. Ярковыраженный замечательный вкус кофе достигается здесь добавлением высококачественного натурального молотого кофе. СОСТАВ: шоколадная глазурь (сахар-песок, какао тертое, какао-масло, какао-порошок, эквивалент масла какао, эмульгатор — лецитин Е322, эмульгатор Е476, ароматизатор, идентичный натуральному, «Ванилин»), начинка - полуфабрикат кондитерская масса (сахар-песок, жир специального назначения, молоко сухое цельное, молоко сухое обезжиренное, эквивалент масла какао, сыворотка сухая молочная, эмульгатор — лецитин Е322, эмульгатор Е476, антиокислитель Е306, ароматизатор, идентичный натуральному, «Сливочный»), вафли молотые (мука пшеничная, масло растительное, соль пищевая, сода пищевая, эмульгатор — лецитин Е322), какао-порошок, кофе натуральный молотый, ароматизатор, идентичный натуральному, «Капуччино».ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ – 4,0 г; ЖИРЫ – 32,0 г; УГЛЕВОДЫ – 55,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  520  ККАЛ/2180 кДж ГОСТ  4570-93";66.81 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848258;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/d12e8cce0410ec2ebb034b6fff4db31c.jpg;200
Конфеты Тесоро имбирный вз;"Формовые шоколадные конфеты с начинкой на основе кондитерского полуфабриката с добавлением натурального молотого сухого порошка имбиря.Состав: шоколадная глазурь, полуфабрикат кондитерский на основе растительных жиров и сухих молочных продуктов, какао-порошок, вафельная крошка, спирт этиловый ректификованный пищевой, имбирь натуральный молотый, лецитин соевый. Пищевая ценность 100 г : белки 6.0 г;  жиры 35,0 г, углеводы 50,0 г. ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 г: 540 ккал/2260 кДж. Выпущены по ГОСТ 4570.";146.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848257;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/185667e2b1788f276d42076eb581132c.jpg;500
