наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Брюки для девочки 1-4;"Состав: хлопок 100%; Цвет: бирюзовый, мордочки; Ткань: футер с начесом. Маломерят.  Точные замеры данной модели: размер 1 (рост 86): длина общая- 44см; размер 2 (рост 92): длина общая- 46см; размер 3 (рост 98): длина общая- 48см; размер 4 (рост 104): длина общая- 50см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0688;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0688-330x330.jpg;1
Брюки для девочки 1-4;"Состав: хлопок 100%; Цвет: т.коралловый, мордочки; Ткань: футер с начесом. Маломерят.  Точные замеры данной модели: размер 1 (рост 86): длина общая- 44см; размер 2 (рост 92): длина общая- 46см; размер 3 (рост 98): длина общая- 48см; размер 4 (рост 104): длина общая- 50см.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0687;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0687-330x330.jpg;1
Бриджи для девочки;"Состав: хлопок 95%, лайкра 5%; Цвет: голубой/персиковый, пчёлка; Ткань: тонкая джинса.";192,00;13;http://vasilek-omsk.ru/devochki-odezhda/CH0303;http://vasilek-omsk.ru/image/cache/data/CHINA/CH0303-330x330.jpg;160
Лосины для девочки 5-8;"Состав: хлопок 95%, эластан 5%; Цвет: чёрный, сердца; Состав: хлопок- 95%., эластан- 5%";140,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0650;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0650-330x330.jpg;6
Лосины для девочки 5-8;"Состав: хлопок 95%, эластан 5%; Цвет: ч.синий, сердца; Состав: хлопок- 95%., эластан- 5%";140,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0648;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0648-330x330.jpg;"5;6;7"
Лосины для девочки 5-8;"Состав: хлопок 95%, эластан 5%; Цвет: голубой, звёзды; Состав: хлопок- 95%., эластан- 5%";140,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0647;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0647-330x330.jpg;6
Лосины для девочки 5-8;"Состав: хлопок 95%, эластан 5%; Цвет: жёлтый, сердца; Состав: хлопок- 95%., эластан- 5%";140,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0646;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0646-330x330.jpg;"6;8"
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: синий,цветы; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0143;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0143-330x330.jpg;"6;7;8"
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: т.синий,цветы; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0142;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0142-330x330.jpg;8
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: чёрный, цветы; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0140;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0140-330x330.jpg;"2;5;6;7"
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: ультрамарин, цветы; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0139;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0139-330x330.jpg;"2;7;8;9;10"
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: чёрный,цветы; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0138;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0138-330x330.jpg;9
Велосипедки для девочки Baby Style;"Состав: хлопок 92%, эластан 8%; Цвет: белый, подсолнухи; Состав: хлопок- 92%, эластан- 8%.";130,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0137;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0137-330x330.jpg;"2;3;7;8;9;10;11"
