наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Рубашка Артикул: 1261 зеленый;"Актуальная рубашка прямого силуэта из плотной, но тонкой ткани ""в клетку"". Отложной воротник, планка и манжеты на пуговицах, по спинки кокетка со встречной складкой, фигурный низ. Рубашка даже в самом нейтральном исполнении делает комплект немного дерзким и хулиганским. Состав: вискоза 45%  хлопок 25%  п/э 25%  лайкра 5%";900 руб.;13;http://www.mari-line.com/catalog/sale/4825;http://www.mari-line.com/upload/resize_cache/iblock/6bc/499_753_2/6bc8f6698e68b6a9b418802ab1ee308c.jpg http://www.mari-line.com/upload/resize_cache/iblock/337/499_753_2/337ccaf40d663235761216b5086246b7.jpg http://www.mari-line.com/upload/resize_cache/iblock/d93/499_753_2/d9359d3b105f927808301a6d7d5bae00.jpg ;52
Платье Артикул: 1413 принт;Платье из денима миди прилегающего силуэта. Платье с округлым вырезом горловины, втачной рукав фонарик, отрезное по линии талии. По спинке застежка на потайную молнию, пышная юбка балон со складкам на подкладке.Романтика и винтаж в этом облегающем платье, пышный силуэт с тонкой талией по прежнем остается в тренде. Состав: вискоза 45%  хлопок 25%  п/э  25%  лайкра 5%;1500 руб.;13;http://www.mari-line.com/catalog/sale/3757;http://www.mari-line.com/upload/resize_cache/iblock/695/499_753_2/6957239a048ad21f3e34cc48ff81de5f.jpg http://www.mari-line.com/upload/resize_cache/iblock/b54/499_753_2/b54f75b0267d4953e512747e087e6393.jpg http://www.mari-line.com/upload/resize_cache/iblock/1a3/499_753_2/1a3a528b487e7c377e4ff065fc72fee8.jpg ;42
Платье Артикул: 1239 фуксия;Платье миди из жаккардового трикотажа прямого силуэта. Платье с округлым вырезом горловины, втачной рукав 3/4, подол оформлен отрезным элементом с разрезом. Идеальное платье в зимний период – мягкое, теплое, и при этом эффектное. Почувствуйте себя привлекательной в холодное время года. Состав: вискоза 60% п/э 37% лайкра 3%;900 руб.;13;http://www.mari-line.com/catalog/sale/4918;http://www.mari-line.com/upload/resize_cache/iblock/018/499_753_2/0185b191c70840c4504e84fc1fd557fa.jpg http://www.mari-line.com/upload/resize_cache/iblock/358/499_753_2/358f1ff275b8eee760bd475de9efdd22.jpg http://www.mari-line.com/upload/resize_cache/iblock/1d3/499_753_2/1d347ddef8d3cc70fa51a347e1032363.jpg ;"44; 46"
Платье Артикул: 1443 синий;Трикотажное платье мини, свободного силуэта. Округлый вырез горловины переходит в башлык, втачные рукава 3/4, по платью рельефные швы с декоративной строчкой. Ассиметричный многослойный низ платья на кулисе. Гиподинамичность времени настолько высока, что  вполне реально за несколько часов оказаться в другой части света. Поэтому платья в спортивном стиле  один из самых популярных элементов. Комфорт и удобство в одеже растут с невероятной скоростью. Состав: вискоза 75% п/э 20% лайкра 5%;1200 руб.;13;http://www.mari-line.com/catalog/sale/5147;http://www.mari-line.com/upload/resize_cache/iblock/75e/499_753_2/75e088bd0d1a7a35cb9e7d132b22671c.jpg http://www.mari-line.com/upload/resize_cache/iblock/82d/499_753_2/82d8c63823ed0d0b38b25f0a1885b64f.jpg ;"44; 46"
Платье Артикул: 1017 фуксия;"Платье миди А-силуэта из структурированного креп-трикотажа с отложным однотонным воротничком. Рукава 3/4 с идентичной воротничку однотонной отделкой в манжете. В рельефах по переду - накладные карманы. Универсальный силуэт, ""некапризная"" ткань и актуальное для сезона цветовое сочетание делают это платье выгодным и ярким приобретением для Вашего гардероба. Состав: вискоза 55%  п/э 40%  эластан 5%";900 руб.;13;http://www.mari-line.com/catalog/sale/1052;http://www.mari-line.com/upload/resize_cache/iblock/7ad/499_753_2/7ad01b661c53b4a289ba4cf3f975dbce.jpg http://www.mari-line.com/upload/resize_cache/iblock/06a/499_753_2/06a72500b50d26fc427dc8b1c49468ec.jpg ;52
Платье Артикул: 1513;Трикотажное платье миди, прилегающего силуэта. Округлый вырез горловины и втачной рукав 3/4 подчеркнут изящные женские линии. Передняя часть декорирована геометрией в виде волны. Женственность и элегантность наряда призвана подчеркнуть Ваш изысканный вкус. Состав: вискоза 75%  п/э 20%  лайкра 5%;1200 руб.;13;http://www.mari-line.com/catalog/sale/5159;http://www.mari-line.com/upload/resize_cache/iblock/0a9/499_753_2/0a9a9f18a228f0537e28552fb86700b4.jpg http://www.mari-line.com/upload/resize_cache/iblock/7be/499_753_2/7be018f29d5910706721ed1dcfb662c1.jpg ;44
Платье Артикул: 1355;"Трикотажное платье мини полуприлегающего силуэта с эффектным орнаментом. Округлый вырез горловины с отложным воротом и рукав реглан 3/4 выполнены из однотонной ткани-компаньона. Стильное платье ""кэжуал"" с геометрическим принтом при небольших финансовых затратах подарит Вам комфорт и стильный вид практически в любой обстановке. Состав: вискоза 75%  п/э 20%  лайкра 5%";1200 руб.;13;http://www.mari-line.com/catalog/sale/4993;http://www.mari-line.com/upload/resize_cache/iblock/d1c/499_753_2/d1c64b109ad6632060b2ef5a454b1290.jpg http://www.mari-line.com/upload/resize_cache/iblock/3b5/499_753_2/3b5a83ede4e9adacd9e6e1f2b6cbe45b.JPG http://www.mari-line.com/upload/resize_cache/iblock/714/499_753_2/71418dfefb55e6766707722e55bcecf0.jpg ;48
Платье Артикул: 1225;Трикотажное платье миди, с округлым вырезом горловины и пышным рукавом на манжете, приталенный силуэт, с зади шлица. Кто любит идеи, лежащие вне времени и пространства, это элегантное платье хочется носить, выглядеть стильно и утонченно. Состав: вискоза 75% п/э 20% лайкра 5%;800 руб.;13;http://www.mari-line.com/catalog/sale/4493;http://www.mari-line.com/upload/resize_cache/iblock/9ea/499_753_2/9ea02a235816394c9d38609fd4069c81.jpg http://www.mari-line.com/upload/resize_cache/iblock/7cc/499_753_2/7ccb0ac3d2361208402174378f42ee2f.jpg ;44
Платье Артикул: 1069 красный;Платье миди из костюмной ткани. Модель с округлым вырезом горловины,рукав 3/4, рельефные швы по переду и спинке переходящие в расклешенную юбку. Платье смотрится женственным и довольно изящным. Состав: вискоза 50%  п/э 45%  эластан 5%;1500 руб.;13;http://www.mari-line.com/catalog/sale/3470;http://www.mari-line.com/upload/resize_cache/iblock/796/499_753_2/7960acbbba91882d1262b52079ac3f71.jpg http://www.mari-line.com/upload/resize_cache/iblock/920/499_753_2/9200ff08d763d47fa6107385a6e42daf.jpg ;"44; 54"
Платье Артикул: 1082;Трикотажное изысканное платье макси. Платье приталенного силуэта, округлый вырез горловины переходящий в декор с воздушными петлями и шнурком, отрезное по линии талии с широким поясом на пуговицах и рукавом 7/8, декорировано контрастной тесьмой. Яркое и необычное платье, причем привлечение к достоинствам фигуры подчеркивается, в первую очередь, за счет удачного кроя. Цвет остается важным компонентом наряда. Состав: вискоза 75%  п/э 20%  лайкра 5%;1300 руб.;13;http://www.mari-line.com/catalog/sale/2604;http://www.mari-line.com/upload/resize_cache/iblock/261/499_753_2/261fc75bce4600322b37baf1da35c9a0.jpg http://www.mari-line.com/upload/resize_cache/iblock/dbe/499_753_2/dbe11196f2206c17798a3bc8658225f9.jpg ;44
